nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
ESCALERA RECTA SIMPLE 2.44 M.,544-08,66063.20,89185.32,79275.84,unidad,unidad,1.0,100,Construccion,Materiales,,,,
"ESCALERA RECTA SIMPLE 3,66 M.",544-12,88552.80,119546.28,106263.36,unidad,unidad,1.0,100,Construccion,Materiales,,,,
BOCINAS 12V 2X16W 380/480HZ UNIV.70MM,548648,4859.36,6560.14,5831.23,unidad,unidad,1.0,100,General,Otros,,,,
"MALLA C92 EB 2.6X5.0 15-15 4.2X4.2 NR (18,77KG)",549151542402605,21765.72,29383.72,26118.86,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
BOCINA CARACOL ROJA 12V 72W 400 Y 500HZ JGO,559026,20551.88,27745.04,24662.26,unidad,unidad,1.0,100,General,Otros,,,,
TRIPACK - CALADORA + ESMERIL ANGULAR 4 1/2 + TALADRO 13M/M,5620000144,48071.52,64896.55,57685.82,PACK,PACK,1.0,100,Construccion,Materiales,,,,
CINTA ELECTRICA NEGRA AUTOEXTINGUIBLE 10MT X 18MM,56203-00000-00,374.32,505.33,449.19,uds,uds,1.0,100,General,Otros,,,,
CINTA ELECTRICA NEGRA AUTOEXTINGUIBLE 20MT X 18MM,56204-00000-00,641.48,865.99,769.77,uds,uds,1.0,100,General,Otros,,,,
ALFOMBRA PASILLO ANKARA TAWNY,5690217651,7805.10,10536.88,9366.12,m2,m2,1.0,100,General,Otros,,,,
ALFOMBRA PASILLO ANKARA VELVET,5690221021,7805.10,10536.88,9366.12,m2,m2,1.0,100,General,Otros,,,,
ALF.PASTO SINTETICO MAIPO 2MT (50 M2),5690706020,4279.05,5980.00,5980.00,m2,m2,1.0,100,General,Otros,,,,
ALF.PASTO SINTETICO MAIPO 4MT (100 M2),5690706040,4279.05,11980.00,11980.00,m2,m2,1.0,100,General,Otros,,,,
CUBREPISO FUNNY 2MTS 140 BEIGE ( ROLLO 120 M2),5692001402,2662.61,3594.52,3195.13,m2,m2,1.0,100,General,Otros,,,,
CUBREPISO FUNNY 2MTS 346 ROJO (ROLLO 120 M2),5692003464,3445.73,4651.73,4134.87,m2,m2,1.0,100,General,Otros,,,,
CUBREPISO FUNNY 2MTS 541 AZUL (ROLLO 120 M2),5692005416,2662.61,3594.52,3195.13,m2,m2,1.0,100,General,Otros,,,,
PASTO SINTÉTICO BERMUDA 2MT 30MM,5693003020,6204.72,11980.00,11980.00,m2,m2,1.0,100,General,Otros,,,,
PASTO SINTÉTICO BERMUDA 4MT 30MM,5693003040,6204.72,21980.00,21980.00,m2,m2,1.0,100,General,Otros,,,,
PASTO SINTETICO CAMPO VERDE 35MM ( 100 M2 ),5698320356,16789.89,33000.00,33000.00,m2,m2,1.0,100,General,Otros,,,,
YESO 1 KILO (25 UNIDADES),580-1,341.36,460.84,409.63,1 kilo,1 kilo,1.0,100,Construccion,Materiales,,,,
CADENA ROLLO 3/8 .058 H42 73VL,581 6266-01,417840.46,564084.63,501408.56,unidad,unidad,1.0,100,General,Otros,,,,
CADENA ROLLO .325 .050 H30 95VP (SP33G),581 6431-01,493084.48,665664.05,591701.38,unidad,unidad,1.0,100,General,Otros,,,,
PINZA TOMA TIERRA 500A,583050,3435.48,4637.89,4122.57,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
ESPADA 15 3/8/1.5/SN/GRANDE/H42,585 9508-56,37576.19,50727.85,45091.42,unidad,unidad,1.0,100,General,Otros,,,,
ACEITE MEZCLA HUSQVARNA HP 1OO CC. (CAJA 50 UDS),587 8085-01,2510.00,3388.50,3012.00,unidad,unidad,1.0,100,General,Otros,,,,
CAL PINTA CAL 1 KILO,590-1,482.92,651.95,579.51,kilo,kilo,1.0,100,Construccion,Materiales,,,,
ETERFLEX 2500 QUADRA AZUL,5902210030,1757.00,2371.95,2108.40,m2,m2,1.0,100,General,Otros,,,,
ETERFLEX 2700 PARQUET ARCE,5902210402,4425.63,5974.60,5310.76,m2,m2,1.0,100,General,Otros,,,,
ETERFLEX 2500 GEOMETRICO GRIS,5902551309,1757.00,2371.95,2108.40,m2,m2,1.0,100,General,Otros,,,,
ETERFLEX 2700 MADERA CEDRO,5902736147,4425.63,5974.60,5310.76,M2,M2,1.0,100,General,Otros,,,,
"VIENA 8,3 MM ROBLE OSCURO 3",5931028305,10048.03,13564.84,12057.64,M2,M2,1.0,100,General,Otros,,,,
SALIDA DE LAVADORA DE 150 CM,595,2730.88,3686.69,3277.06,unidad,unidad,1.0,100,General,Otros,,,,
"LIMAS REDONDAS, 5.5MM - 7/32 - 12 UNIDADES",597 3561-02,15538.91,20977.53,18646.69,unidad,unidad,1.0,100,General,Otros,,,,
BROCA PLANA P/MADERA W-MAX 19MM ( 1 UNIDAD),5986000044,1259.02,1699.67,1510.82,unidad,unidad,1.0,100,General,Otros,,,,
BROCA PLANA P/MADERA W-MAX 32MM ( 1 UNIDAD),5986000052,1838.32,2481.74,2205.99,unidad,unidad,1.0,100,General,Otros,,,,
DESENGRIPANTE W-MAX 300ML,598611330071012,1948.76,2630.83,2338.52,unidad,unidad,1.0,100,General,Otros,,,,
DISCO DE CORTE W-MAX 115X1.0X22.23 ( CAJA 25 UNIDADES),5986115101CL01,200.80,271.08,240.96,CAJA,CAJA,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DESBASTE W-MAX 115X6.0X22.23 ( CAJA 10 UNIDADES),5986115106CL01,793.16,1070.77,951.79,caja,caja,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DE CORTE W-MAX 180X1.6X22.23 ( CAJA 25 UNIDADES),5986180101CL01,582.32,786.13,698.78,CAJA,CAJA,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DESBASTE W-MAX 180X6.0X22.23 ( CAJA 10 UNIDADES),5986180106CL01,1169.66,1579.04,1403.59,caja,caja,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DE CORTE W-MAX 230X1.8X22.23 ( CAJA 25 UNIDADES),5986230101CL01,692.76,935.23,831.31,caja,caja,1.0,100,Herramientas,Discos y Corte,,,,
"DISCO DE DESBASTE 4,5""X 1/4 X 7/8"" (13,300 RPM)",60-5100-2751-3,1445.76,1951.78,1734.91,disco,disco,1.0,100,Herramientas,Discos y Corte,,,,
YESO SUPER SACO 25 KGS,6000103,7391.45,9978.45,8869.74,saco,saco,1.0,100,Construccion,Materiales,,,,
YESO EXPRESS VOLCAN 25 KG,6000104,4213.79,5688.61,5056.55,unidad,unidad,1.0,100,Construccion,Materiales,,,,
BATERIA FEMSACO 95D31L 90AH PD NORMAL,600019,68382.44,92316.29,82058.93,unidad,unidad,1.0,100,General,Otros,,,,
BATERIA FEMSACO 95D31R 90AH PI NORMAL,600026,68382.44,92316.29,82058.93,unidad,unidad,1.0,100,General,Otros,,,,
BATERIA FEMSACO 55457 55AH PD NORMAL,600064,43069.59,58143.95,51683.51,unidad,unidad,1.0,100,General,Otros,,,,
